编号	标题	任务类型1	前往等级限制	任务参数1	任务目标1	任务类型2	任务参数2	任务目标2	任务名称1	任务名称2	任务奖励经验	任务奖励金币	任务道具奖励	任务描述
123	征讨赵诚	WinPVE		215	1				击败1次赵诚		8205	26800		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“壶关”</font>与赵诚进行战斗并获得胜利。</font>
124	征讨颜良	WinPVE		220	1				击败1次颜良		8206	27300		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“邺城”</font>与颜良进行战斗并获得胜利。</font>
125	征讨孙凯	WinPVE		225	1				击败1次孙凯		8207	27800		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“庐陵郡”</font>与孙凯进行战斗并获得胜利。</font>
126	征讨关靖	WinPVE		230	1				击败1次关靖		8208	28300		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“彭泽郡”</font>与关靖进行战斗并获得胜利。</font>
127	征讨吕杰	WinPVE		235	1				击败1次吕杰		8209	28800		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“潘阳郡”</font>与吕杰进行战斗并获得胜利。</font>
128	征讨太史慈	WinPVE		240	1				击败1次太史慈		8210	29300		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“建业”</font>与太史慈进行战斗并获得胜利。</font>
129	征讨刘豹	WinPVE		245	1				击败1次刘豹		8211	29800		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“天海”</font>与刘豹进行战斗并获得胜利。</font>
130	征讨张辽	WinPVE		250	1				击败1次张辽		8212	30300		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“万川”</font>与张辽进行战斗并获得胜利。</font>
131	征讨刘淙	WinPVE		255	1				击败1次刘淙		8213	30800		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“绝峰”</font>与刘淙进行战斗并获得胜利。</font>
132	征讨曹丕	WinPVE		260	1				击败1次曹丕		8214	31300		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“大都”</font>与曹丕进行战斗并获得胜利。</font>
133	征讨华歆 　　	WinPVE		265	1				击败1次华歆 　　		8215	31800		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“平岭”</font>与华歆进行战斗并获得胜利。</font>
134	征讨刘敏	WinPVE		270	1				击败1次刘敏		8216	32300		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“奉天”</font>与刘敏进行战斗并获得胜利。</font>
135	征讨马忠	WinPVE		275	1				击败1次马忠		8217	32800		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“黑泽”</font>与马忠进行战斗并获得胜利。</font>
136	征讨徐晃	WinPVE		280	1				击败1次徐晃		8218	33300		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“临城”</font>与徐晃进行战斗并获得胜利。</font>
137	征讨李严	WinPVE		285	1				击败1次李严		8219	33800		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“龙岭”</font>与李严进行战斗并获得胜利。</font>
138	征讨陆抗	WinPVE		290	1				击败1次陆抗		8220	34300		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“千竹”</font>与陆抗进行战斗并获得胜利。</font>
139	征讨楼玄	WinPVE		295	1				击败1次楼玄		8221	34800		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“九凉”</font>与楼玄进行战斗并获得胜利。</font>
140	征讨典韦	WinPVE		300	1				击败1次典韦		8222	35300		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“铜雀”</font>与典韦进行战斗并获得胜利。</font>
1000	紫色荣耀	EnrollRole		purple	1				招募1名紫色品质的武将         		1	27000	user.cash:10	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“招贤馆”</font>建筑，可以进行招募武将。</font>
1001	提升等级	LevelUp		all	21	FightPVE	all	1	君主等级达到21级	征讨1次副本	2	27100	user.cash:10	<font FACE='YHFont'>君主等级达到21级，点击<font color='#00ff00'>“征战”</font>，选择关卡进行攻击。</font>
1002	斩张角	KillGeneralTo	21	3	1	KillGeneral	all	1	过关斩将中击败张角军团	在过关斩将战斗1次	3	27200	user.cash:10	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“过关斩将”</font>挑战武将。</font>
1003	橙色一品	HaveRole		orange	1	EnrollRole	all	1	拥有1名橙色武将	招募1名武将	4	27300	user.cash:40	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“招贤馆”</font>建筑，可以进行招募武将。</font>
1004	斩袁术	KillGeneralTo		7	1	KillGeneral	all	1	过关斩将中击败袁术军团	在过关斩将战斗1次	5	27400	user.cash:10	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“过关斩将”</font>挑战武将。</font>
1005	斩逢纪	KillGeneralTo		10	1	KillGeneral	all	1	过关斩将中击败逢纪军团	在过关斩将战斗1次	6	27500	user.cash:10	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“过关斩将”</font>挑战武将。</font>
1006	斩马超	KillGeneralTo		13	1	KillGeneral	all	1	过关斩将中击败马超军团	在过关斩将战斗1次	7	27600	user.cash:10	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“过关斩将”</font>挑战武将。</font>
1007	橙色双雄	HaveRole		orange	2	EnrollRole	all	1	拥有2名橙色武将	招募1名武将	8	27700	user.cash:50	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“招贤馆”</font>建筑，可以进行招募武将。</font>
1008	快速升级	LevelUp		all	38	FightPVE	all	1	君主等级达到38级	征讨1次副本	9	27800	user.cash:10	<font FACE='YHFont'>君主等级达到35级，点击<font color='#00ff00'>“征战”</font>，选择关卡进行攻击。</font>
1009	十层重楼	FightTowerTo	38	all	10	FightTower	all	1	勇闯重楼过10层	在勇闯重楼战斗1次	10	27900	user.cash:10	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“勇闯重楼”</font>挑战层数。</font>
1010	斩刘表	KillGeneralTo		17	1	KillGeneral	all	1	过关斩将中击败刘表军团	在过关斩将战斗1次	11	28000	user.cash:10	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“过关斩将”</font>挑战武将。</font>
1011	二十重楼	FightTowerTo		all	20	FightTower	all	1	勇闯重楼过20层	在勇闯重楼战斗1次	12	28100	user.cash:20	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“勇闯重楼”</font>挑战层数。</font>
1012	橙色三雄	HaveRole		orange	3	EnrollRole	all	1	拥有3名橙色武将	招募1名武将	13	28200	user.cash:60	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“招贤馆”</font>建筑，可以进行招募武将。</font>
1013	三十重楼	FightTowerTo		all	30	FightTower	all	1	勇闯重楼过30层	在勇闯重楼战斗1次	14	28300	user.cash:30	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“勇闯重楼”</font>挑战层数。</font>
1014	斩黄权	KillGeneralTo		20	1	KillGeneral	all	1	过关斩将中击败黄权军团	在过关斩将战斗1次	15	28400	user.cash:30	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“过关斩将”</font>挑战武将。</font>
1015	橙色四雄	HaveRole		orange	4	EnrollRole	all	1	拥有4名橙色武将	招募1名武将	16	28500	user.cash:70	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“招贤馆”</font>建筑，可以进行招募武将。</font>
1016	四十重楼	FightTowerTo		all	40	FightTower	all	1	勇闯重楼过40层	在勇闯重楼战斗1次	17	28600	user.cash:40	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“勇闯重楼”</font>挑战层数。</font>
1017	斩黄忠	KillGeneralTo		23	1	KillGeneral	all	1	过关斩将中击败黄忠军团	在过关斩将战斗1次	18	28700	user.cash:40	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“过关斩将”</font>挑战武将。</font>
1018	五十重楼	FightTowerTo		all	50	FightTower	all	1	勇闯重楼过50层	在勇闯重楼战斗1次	19	28800	user.cash:50	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“勇闯重楼”</font>挑战层数。</font>
1019	橙色五雄	HaveRole		orange	5	EnrollRole	all	1	拥有5名橙色武将	招募1名武将	20	28900	user.cash:80	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“招贤馆”</font>建筑，可以进行招募武将。</font>
1020	六十重楼	FightTowerTo		all	60	FightTower	all	1	勇闯重楼过60层	在勇闯重楼战斗1次	21	29000	user.cash:60	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“勇闯重楼”</font>挑战层数。</font>
1021	斩诸葛亮	KillGeneralTo		27	1	KillGeneral	all	1	过关斩将中击败诸葛亮军团	在过关斩将战斗1次	22	29100	user.cash:60	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“过关斩将”</font>挑战武将。</font>
1022	七十重楼	FightTowerTo		all	70	FightTower	all	1	勇闯重楼过70层	在勇闯重楼战斗1次	23	29200	user.cash:70	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“勇闯重楼”</font>挑战层数。</font>
1023	斩貂蝉	KillGeneralTo		30	1	KillGeneral	all	1	过关斩将中击败貂蝉军团	在过关斩将战斗1次	24	29300	user.cash:70	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“过关斩将”</font>挑战武将。</font>
1024	八十重楼	FightTowerTo		all	80	FightTower	all	1	勇闯重楼过80层	在勇闯重楼战斗1次	25	29400	user.cash:80	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“勇闯重楼”</font>挑战层数。</font>
1025	橙色六雄	HaveRole		orange	6	EnrollRole	all	1	拥有6名橙色武将	招募1名武将	26	29500	user.cash:90	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“招贤馆”</font>建筑，可以进行招募武将。</font>
1026	九十重楼	FightTowerTo		all	90	FightTower	all	1	勇闯重楼过90层	在勇闯重楼战斗1次	27	29600	user.cash:90	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“勇闯重楼”</font>挑战层数。</font>
1027	橙色七雄	HaveRole		orange	7	EnrollRole	all	1	拥有7名橙色武将	招募1名武将	28	29700	user.cash:100	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“招贤馆”</font>建筑，可以进行招募武将。</font>
1028	百重楼	FightTowerTo		all	100	FightTower	all	1	勇闯重楼过100层	在勇闯重楼战斗1次	29	10000	user.cash:100	<font FACE='YHFont'>点击家园中的<font color='#00ff00'>“千重楼”</font>建筑，选择<font color='#00ff00'>“勇闯重楼”</font>挑战层数。</font>
