怪物编号	怪物名称	等级	兵种	兵种等级	技能	技能等级	战斗力	攻击	血量	物理防御	法术防御	闪避	暴击	命中	破招	格挡	刚毅	素材	神将	一级神将素材	专属技能
8204	刘璋	67	4	12	5	8	10574	18198	22843	4504	8731	1095	1095	1095	1095	1095	1095	hero/zhugedan.png	0		
9014	西凉谋士	68	4	14	3	9	10606	18474	23254	4567	8881	1095	1095	1095	1095	1095	1095	hero/luxun.png	0		
9024	西凉谋士	68	4	14	3	9	11133	18955	24090	4750	9091	1095	1095	1095	1095	1095	1095	hero/luxun.png	0		
9034	西凉谋士	68	4	14	1	9	11213	18995	24090	4750	9119	1095	1095	1095	1095	1095	1095	hero/luxun.png	0		
9044	西凉谋士	69	4	14	1	9	11335	19292	24530	4821	9278	1095	1095	1095	1095	1095	1095	hero/luxun.png	0		
9054	西凉谋士	69	4	14	5	9	11355	19333	24530	4821	9306	1095	1095	1095	1095	1095	1095	hero/luxun.png	0		
9064	王珞	69	4	14	5	9	11437	19374	24530	4821	9334	1125	1125	1125	1125	1125	1125	hero/lingtong.png	0		
9074	西凉谋士	70	4	14	1	9	12078	19877	25007	4963	9566	1125	1125	1125	1125	1125	1125	hero/luxun.png	0		
9084	西凉谋士	70	4	14	3	9	12718	19919	25007	4963	9594	1125	1125	1125	1125	1125	1125	hero/luxun.png	0		
9094	西凉谋士	70	4	14	1	9	13328	22915	28664	5947	10606	1125	1125	1125	1125	1125	1125	hero/luxun.png	0		
9104	韩遂	71	4	14	3	9	13521	23225	29146	6022	10773	1125	1125	1125	1125	1125	1125	hero/qi.png	0		
9114	西凉谋士	71	4	14	3	10	13658	23268	29146	6022	10801	1125	1125	1125	1125	1125	1125	hero/luxun.png	0		
9124	西凉谋士	71	4	14	3	10	13694	23310	29146	6022	10829	1125	1125	1125	1125	1125	1125	hero/luxun.png	0		
9134	西凉谋士	72	4	14	5	10	13877	23628	29635	6098	10999	1125	1125	1125	1125	1125	1125	hero/luxun.png	0		
9144	西凉谋士	72	4	14	3	10	13894	23671	29635	6098	11028	1125	1125	1125	1125	1125	1125	hero/luxun.png	0		
9154	西凉谋士	72	4	14	5	10	14017	23914	29635	6168	11127	1125	1125	1125	1125	1125	1125	hero/luxun.png	0		
9164	西凉谋士	73	4	14	5	10	14050	24195	30132	6247	11272	1125	1125	1125	1125	1125	1125	hero/luxun.png	0		
9174	张恒	73	4	14	3	10	14167	24195	30132	6247	11272	1155	1155	1155	1155	1155	1155	hero/caopi.png	0		
9184	西凉谋士	73	4	14	1	10	14200	24195	30132	6247	11272	1155	1155	1155	1155	1155	1155	hero/luxun.png	0		
9194	西凉谋士	74	4	14	1	10	14314	24482	30637	6328	11419	1155	1155	1155	1155	1155	1155	hero/luxun.png	0		
9204	西凉谋士	74	4	14	5	10	14449	24482	30637	6328	11419	1155	1155	1155	1155	1155	1155	hero/luxun.png	0		
5015	扬州红颜	35	5	10	3	1	1489	2174	4042	455	1604	1155	1155	1155	1155	1155	1155	hero/diaochan.png	0		
5025	扬州红颜	35	5	10	3	1	1500	2189	4042	455	1619	1155	1155	1155	1155	1155	1155	hero/diaochan.png	0		
5035	扬州红颜	36	5	10	1	1	1551	2260	4222	465	1675	1155	1155	1155	1155	1155	1155	hero/diaochan.png	0		
5045	扬州红颜	36	5	10	5	1	1560	2276	4222	465	1691	1155	1155	1155	1155	1155	1155	hero/diaochan.png	0		
5055	扬州红颜	37	5	10	3	1	1607	2348	4402	475	1748	1155	1155	1155	1155	1155	1155	hero/diaochan.png	0		
5065	扬州红颜	37	5	10	3	1	1616	2364	4402	475	1764	1155	1155	1155	1155	1155	1155	hero/diaochan.png	0		
5075	扬州红颜	37	5	10	5	1	1669	2438	4582	485	1823	1155	1155	1155	1155	1155	1155	hero/diaochan.png	0		
5085	扬州红颜	38	5	10	3	1	1685	2455	4582	485	1840	1185	1185	1185	1185	1185	1185	hero/diaochan.png	0		
5095	扬州红颜	38	5	10	5	1	1740	2530	4762	495	1900	1185	1185	1185	1185	1185	1185	hero/diaochan.png	0		
5105	扬州红颜	38	5	10	1	1	1748	2547	4762	495	1917	1185	1185	1185	1185	1185	1185	hero/diaochan.png	0		
5115	扬州红颜	38	5	10	3	2	2107	3224	5902	705	2179	1185	1185	1185	1185	1185	1185	hero/diaochan.png	0		
5125	扬州红颜	38	5	10	3	2	2127	3242	5902	705	2197	1185	1185	1185	1185	1185	1185	hero/diaochan.png	0		
5135	扬州红颜	38	5	10	5	2	2173	3320	6082	715	2260	1185	1185	1185	1185	1185	1185	hero/diaochan.png	0		
5145	扬州红颜	38	5	10	3	2	2203	3338	6082	715	2278	1185	1185	1185	1185	1185	1185	hero/diaochan.png	0		
5155	扬州红颜	37	5	10	3	2	2260	3418	6262	725	2343	1185	1185	1185	1185	1185	1185	hero/diaochan.png	0		
5165	扬州红颜	37	5	10	1	2	2271	3437	6262	725	2362	1185	1185	1185	1185	1185	1185	hero/diaochan.png	0		
5175	扬州红颜	38	5	10	5	2	2329	3518	6442	735	2428	1185	1185	1185	1185	1185	1185	hero/diaochan.png	0		
5185	扬州红颜	38	5	10	3	2	2338	3537	6442	735	2447	1185	1185	1185	1185	1185	1185	hero/diaochan.png	0		
5195	扬州红颜	39	5	10	3	2	2397	3620	6622	745	2515	1215	1215	1215	1215	1215	1215	hero/diaochan.png	0		
5205	扬州红颜	39	5	10	3	2	2404	3640	6622	745	2535	1215	1215	1215	1215	1215	1215	hero/diaochan.png	0		
6015	荆州红颜	40	5	11	1	3	2793	4331	7206	1039	2888	1215	1215	1215	1215	1215	1215	hero/diaochan.png	0		
6025	荆州红颜	40	5	11	5	3	2803	4351	7206	1039	2908	1215	1215	1215	1215	1215	1215	hero/diaochan.png	0		
6035	荆州红颜	41	5	11	1	3	2974	4658	7422	1159	3089	1215	1215	1215	1215	1215	1215	hero/diaochan.png	0		
6045	荆州红颜	41	5	11	3	3	3194	5009	7902	1269	3220	1215	1215	1215	1215	1215	1215	hero/diaochan.png	0		
6055	荆州红颜	42	5	11	5	3	3222	5117	8118	1289	3302	1215	1215	1215	1215	1215	1215	hero/diaochan.png	0		
6065	荆州红颜	42	5	11	5	3	3277	5180	8118	1289	3365	1215	1215	1215	1215	1215	1215	hero/diaochan.png	0		
6075	荆州红颜	43	5	11	5	3	3364	5313	8334	1309	3472	1215	1215	1215	1215	1215	1215	hero/diaochan.png	0		
6085	荆州红颜	43	5	11	5	3	3386	5356	8334	1309	3515	1215	1215	1215	1215	1215	1215	hero/diaochan.png	0		
6095	荆州红颜	44	5	11	1	3	3502	5491	8550	1329	3624	1215	1215	1215	1215	1215	1215	hero/diaochan.png	0		
6105	荆州红颜	44	5	11	5	3	3512	5535	8550	1329	3668	1245	1245	1245	1245	1245	1245	hero/diaochan.png	0		
6115	荆州红颜	45	5	11	3	4	3688	5851	8766	1419	3828	1245	1245	1245	1245	1245	1245	hero/diaochan.png	0		
6125	荆州红颜	45	5	11	1	4	3738	5874	8766	1419	3851	1245	1245	1245	1245	1245	1245	hero/diaochan.png	0		
6135	蒯俪	46	5	11	5	4	3754	6007	9005	1447	3950	1245	1245	1245	1245	1245	1245	hero/hongyan.png	0		
6145	荆州红颜	46	5	11	5	4	3819	6030	9005	1447	3973	1245	1245	1245	1245	1245	1245	hero/diaochan.png	0		
6155	荆州红颜	47	5	11	3	4	3874	6166	9245	1475	4074	1245	1245	1245	1245	1245	1245	hero/diaochan.png	0		
6165	荆州红颜	47	5	11	1	4	3922	6190	9245	1475	4098	1245	1245	1245	1245	1245	1245	hero/diaochan.png	0		
6175	蔡夫人	48	5	11	5	4	4316	6841	10207	1675	4372	1245	1245	1245	1245	1245	1245	hero/huangyueying.png	0		
6185	荆州红颜	48	5	11	3	4	4328	6865	10207	1675	4396	1245	1245	1245	1245	1245	1245	hero/diaochan.png	0		
6195	荆州红颜	49	5	11	5	4	4427	7208	10453	1774	4571	1245	1245	1245	1245	1245	1245	hero/diaochan.png	0		
6205	荆州红颜	49	5	11	5	4	4527	7233	10453	1774	4596	1245	1245	1245	1245	1245	1245	hero/diaochan.png	0		
7015	南蛮红颜	50	5	13	3	5	4609	7379	10728	1806	4705	1275	1275	1275	1275	1275	1275	hero/diaochan.png	0		
7025	南蛮红颜	50	5	13	1	5	4721	7690	11219	1909	4833	1275	1275	1275	1275	1275	1275	hero/diaochan.png	0		
7035	南蛮红颜	51	5	13	1	5	4943	7849	11510	1943	4946	1275	1275	1275	1275	1275	1275	hero/diaochan.png	0		
7045	南蛮红颜	51	5	13	5	5	4956	7875	11510	1943	4972	1275	1275	1275	1275	1275	1275	hero/diaochan.png	0		
7055	南蛮红颜	52	5	13	5	5	5089	8037	11806	1979	5088	1275	1275	1275	1275	1275	1275	hero/diaochan.png	0		
7065	南蛮红颜	52	5	13	1	5	5104	8063	11806	1979	5114	1275	1275	1275	1275	1275	1275	hero/diaochan.png	0		
7075	南蛮红颜	53	5	13	1	5	5239	8429	12103	2085	5302	1275	1275	1275	1275	1275	1275	hero/diaochan.png	0		
7085	南蛮红颜	53	5	13	5	5	5321	8456	12103	2085	5329	1275	1275	1275	1275	1275	1275	hero/diaochan.png	0		
7095	祝融夫人	54	5	13	3	5	5435	8626	12406	2124	5451	1275	1275	1275	1275	1275	1275	hero/zhurongfuren.png	0		
7105	南蛮红颜	54	5	13	1	5	5781	9447	13490	2388	5742	1275	1275	1275	1275	1275	1275	hero/diaochan.png	0		
7115	南蛮红颜	55	5	13	3	6	5934	9622	13794	2427	5866	1275	1275	1275	1275	1275	1275	hero/diaochan.png	0		
7125	杨朵	55	5	13	5	6	5948	9650	13794	2427	5893	1305	1305	1305	1305	1305	1305	hero/huanggai.png	0		
7135	南蛮红颜	56	5	13	5	6	6066	9828	14104	2467	6020	1305	1305	1305	1305	1305	1305	hero/diaochan.png	0		
7145	南蛮红颜	56	5	13	3	6	6081	9856	14104	2467	6048	1305	1305	1305	1305	1305	1305	hero/diaochan.png	0		
7155	南蛮红颜	57	5	13	5	6	6208	10240	14414	2578	6247	1305	1305	1305	1305	1305	1305	hero/diaochan.png	0		
7165	南蛮红颜	57	5	13	3	6	6337	10269	14414	2578	6276	1305	1305	1305	1305	1305	1305	hero/diaochan.png	0		
7175	南蛮红颜	58	5	13	5	6	6373	10456	14731	2621	6408	1305	1305	1305	1305	1305	1305	hero/diaochan.png	0		
7185	南蛮红颜	58	5	13	1	6	6575	10485	14731	2621	6437	1305	1305	1305	1305	1305	1305	hero/diaochan.png	0		
7195	南蛮红颜	59	5	13	1	6	6702	10677	15050	2665	6572	1305	1305	1305	1305	1305	1305	hero/diaochan.png	0		
7205	南蛮红颜	59	5	13	3	6	6710	10854	15050	2665	6749	1305	1305	1305	1305	1305	1305	hero/diaochan.png	0		
8015	益州红颜	60	5	12	1	7	6765	11054	15401	2710	6889	1305	1305	1305	1305	1305	1305	hero/diaochan.png	0		
8025	益州红颜	60	5	12	5	7	7217	11428	16060	2856	7065	1305	1305	1305	1305	1305	1305	hero/diaochan.png	0		
8035	益州红颜	60	5	12	3	7	7829	12888	17682	3336	7575	1335	1335	1335	1335	1335	1335	hero/diaochan.png	0		
8045	益州红颜	61	5	12	3	7	8112	13102	18056	3388	7724	1335	1335	1335	1335	1335	1335	hero/diaochan.png	0		
8055	益州红颜	61	5	12	5	7	8133	13133	18056	3388	7754	1335	1335	1335	1335	1335	1335	hero/diaochan.png	0		
8065	益州红颜	61	5	12	5	7	8146	13163	18056	3388	7785	1335	1335	1335	1335	1335	1335	hero/diaochan.png	0		
8075	益州红颜	62	5	12	1	7	8192	13383	18434	3440	7936	1335	1335	1335	1335	1335	1335	hero/diaochan.png	0		
8085	益州红颜	62	5	12	5	7	8202	13414	18434	3440	7967	1335	1335	1335	1335	1335	1335	hero/diaochan.png	0		
8095	益州红颜	62	5	12	1	7	8219	13445	18434	3440	7998	1335	1335	1335	1335	1335	1335	hero/diaochan.png	0		
8105	益州红颜	63	5	12	3	7	8517	13671	18818	3494	8153	1335	1335	1335	1335	1335	1335	hero/diaochan.png	0		
8115	益州红颜	63	5	12	5	8	8531	13903	18818	3564	8255	1335	1335	1335	1335	1335	1335	hero/diaochan.png	0		
8125	益州红颜	64	5	12	5	8	8860	14134	19207	3620	8413	1335	1335	1335	1335	1335	1335	hero/diaochan.png	0		
8135	益州红颜	64	5	12	1	8	8877	14166	19207	3620	8445	1335	1335	1335	1335	1335	1335	hero/diaochan.png	0		
8145	益州红颜	64	5	12	3	8	8895	14198	19207	3620	8477	1365	1365	1365	1365	1365	1365	hero/diaochan.png	0		
8155	益州红颜	65	5	12	3	8	9054	14435	19601	3678	8640	1365	1365	1365	1365	1365	1365	hero/diaochan.png	0		
8165	益州红颜	65	5	12	5	8	10076	16373	22039	4314	9308	1365	1365	1365	1365	1365	1365	hero/diaochan.png	0		
8175	益州红颜	66	5	12	5	8	10237	16615	22439	4373	9473	1365	1365	1365	1365	1365	1365	hero/diaochan.png	0		
8185	益州红颜	66	5	12	3	8	10368	16648	22439	4373	9506	1365	1365	1365	1365	1365	1365	hero/diaochan.png	0		
8195	益州红颜	67	5	12	5	8	10564	17097	22843	4504	9744	1365	1365	1365	1365	1365	1365	hero/diaochan.png	0		
8205	益州红颜	67	5	12	3	8	10574	17130	22843	4504	9778	1365	1365	1365	1365	1365	1365	hero/diaochan.png	0		
9015	西凉红颜	68	5	14	1	9	10606	18474	23254	4567	8881	1365	1365	1365	1365	1365	1365	hero/diaochan.png	0		
9025	西凉红颜	68	5	14	5	9	11133	18955	24090	4750	9091	1365	1365	1365	1365	1365	1365	hero/diaochan.png	0		
9035	西凉红颜	68	5	14	5	9	11213	18995	24090	4750	9119	1365	1365	1365	1365	1365	1365	hero/diaochan.png	0		
9045	西凉红颜	69	5	14	3	9	11335	19292	24530	4821	9278	1365	1365	1365	1365	1365	1365	hero/diaochan.png	0		
9055	西凉红颜	69	5	14	1	9	11355	19333	24530	4821	9306	1395	1395	1395	1395	1395	1395	hero/diaochan.png	0		
9065	西凉红颜	69	5	14	3	9	11437	19374	24530	4821	9334	1395	1395	1395	1395	1395	1395	hero/diaochan.png	0		
9075	西凉红颜	70	5	14	3	9	12078	19877	25007	4963	9566	1395	1395	1395	1395	1395	1395	hero/diaochan.png	0		
9085	西凉红颜	70	5	14	3	9	12718	19919	25007	4963	9594	1395	1395	1395	1395	1395	1395	hero/diaochan.png	0		
9095	西凉红颜	70	5	14	3	9	13328	22915	28664	5947	10606	1395	1395	1395	1395	1395	1395	hero/diaochan.png	0		
9105	西凉红颜	71	5	14	3	9	13521	23225	29146	6022	10773	1395	1395	1395	1395	1395	1395	hero/diaochan.png	0		
9115	西凉红颜	71	5	14	1	10	13658	23268	29146	6022	10801	1395	1395	1395	1395	1395	1395	hero/diaochan.png	0		
9125	西凉红颜	71	5	14	5	10	13694	23310	29146	6022	10829	1395	1395	1395	1395	1395	1395	hero/diaochan.png	0		
9135	西凉红颜	72	5	14	3	10	13877	23628	29635	6098	10999	1395	1395	1395	1395	1395	1395	hero/diaochan.png	0		
9145	西凉红颜	72	5	14	1	10	13894	23671	29635	6098	11028	1395	1395	1395	1395	1395	1395	hero/diaochan.png	0		
9155	西凉红颜	72	5	14	3	10	14017	23914	29635	6168	11127	1395	1395	1395	1395	1395	1395	hero/diaochan.png	0		
9165	西凉红颜	73	5	14	3	10	14050	24195	30132	6247	11272	1425	1425	1425	1425	1425	1425	hero/diaochan.png	0		
9175	西凉红颜	73	5	14	3	10	14167	24195	30132	6247	11272	1425	1425	1425	1425	1425	1425	hero/diaochan.png	0		
9185	西凉红颜	73	5	14	5	10	14200	24195	30132	6247	11272	1425	1425	1425	1425	1425	1425	hero/diaochan.png	0		
9195	西凉红颜	74	5	14	3	10	14314	24482	30637	6328	11419	1425	1425	1425	1425	1425	1425	hero/diaochan.png	0		
9205	西凉红颜	74	5	14	5	10	14449	24482	30637	6328	11419	1425	1425	1425	1425	1425	1425	hero/diaochan.png	0		
10011	宛城步兵	75	1	10	3	10	16708	20388	38343	12260	10279	1425	1425	1425	1425	1425	1425	hero/dao.png	0		
10021	宛城步兵	75	1	10	3	10	16987	20741	38915	12419	10426	1440	1440	1440	1440	1440	1440	hero/dao.png	0		
10031	宛城步兵	75	1	10	5	10	17266	21094	39487	12578	10573	1455	1455	1455	1455	1455	1455	hero/dao.png	0		
10041	宛城步兵	75	1	10	3	10	17546	21447	40059	12737	10720	1470	1470	1470	1470	1470	1470	hero/dao.png	0		
10051	宛城步兵	76	1	10	5	10	17827	21800	40631	12896	10867	1485	1485	1485	1485	1485	1485	hero/dao.png	0		
10061	宛城步兵	76	1	10	5	10	18109	22153	41203	13055	11014	1500	1500	1500	1500	1500	1500	hero/dao.png	0		
10071	宛城步兵	76	1	10	5	10	18391	22506	41775	13214	11161	1515	1515	1515	1515	1515	1515	hero/dao.png	0		
10081	宛城步兵	76	1	10	5	10	18673	22859	42347	13373	11308	1530	1530	1530	1530	1530	1530	hero/dao.png	0		
10091	宛城步兵	76	1	10	5	10	18957	23212	42919	13532	11455	1545	1545	1545	1545	1545	1545	hero/dao.png	0		
10101	宛城步兵	77	1	10	5	10	19241	23565	43491	13691	11602	1560	1560	1560	1560	1560	1560	hero/dao.png	0		
10111	宛城步兵	77	1	10	5	10	19525	23918	44063	13850	11749	1575	1575	1575	1575	1575	1575	hero/dao.png	0		
10121	宛城步兵	77	1	10	3	10	19811	24271	44635	14009	11896	1590	1590	1590	1590	1590	1590	hero/dao.png	0		
10131	宛城步兵	77	1	10	5	10	20096	24624	45207	14168	12043	1605	1605	1605	1605	1605	1605	hero/dao.png	0		
10141	宛城步兵	77	1	10	5	10	20383	24977	45779	14327	12190	1620	1620	1620	1620	1620	1620	hero/dao.png	0		
10151	宛城步兵	78	1	10	5	10	20670	25330	46351	14486	12337	1635	1635	1635	1635	1635	1635	hero/dao.png	0		
10161	宛城步兵	78	1	10	5	10	20958	25683	46923	14645	12484	1650	1650	1650	1650	1650	1650	hero/dao.png	0		
10171	宛城步兵	78	1	10	3	10	21246	26036	47495	14804	12631	1665	1665	1665	1665	1665	1665	hero/dao.png	0		
10181	宛城步兵	78	1	10	3	10	21535	26389	48067	14963	12778	1680	1680	1680	1680	1680	1680	hero/dao.png	0		
10191	宛城步兵	78	1	10	3	10	21824	26742	48639	15122	12925	1695	1695	1695	1695	1695	1695	hero/dao.png	0		
10201	宛城步兵	79	1	10	3	10	22115	27095	49211	15281	13072	1710	1710	1710	1710	1710	1710	hero/dao.png	0		
11011	官渡步兵	79	1	11	5	10	22405	27448	49783	15440	13219	1725	1725	1725	1725	1725	1725	hero/huanggai.png	0		
11021	官渡步兵	79	1	11	5	10	22697	27801	50355	15599	13366	1740	1740	1740	1740	1740	1740	hero/huanggai.png	0		
11031	官渡步兵	79	1	11	3	10	22989	28154	50927	15758	13513	1755	1755	1755	1755	1755	1755	hero/huanggai.png	0		
11041	官渡步兵	79	1	11	5	10	23281	28507	51499	15917	13660	1770	1770	1770	1770	1770	1770	hero/huanggai.png	0		
11051	官渡步兵	80	1	11	3	10	23574	28860	52071	16076	13807	1785	1785	1785	1785	1785	1785	hero/huanggai.png	0		
11061	官渡步兵	80	1	11	5	10	23868	29213	52643	16235	13954	1800	1800	1800	1800	1800	1800	hero/huanggai.png	0		
11071	官渡步兵	80	1	11	5	10	24162	29566	53215	16394	14101	1815	1815	1815	1815	1815	1815	hero/huanggai.png	0		
11081	官渡步兵	80	1	11	3	10	24457	29919	53787	16553	14248	1830	1830	1830	1830	1830	1830	hero/huanggai.png	0		
11091	官渡步兵	80	1	11	3	10	24752	30272	54359	16712	14395	1845	1845	1845	1845	1845	1845	hero/huanggai.png	0		
11101	官渡步兵	81	1	11	5	10	25048	30625	54931	16871	14542	1860	1860	1860	1860	1860	1860	hero/huanggai.png	0		
11111	官渡步兵	81	1	11	5	10	25345	30978	55503	17030	14689	1875	1875	1875	1875	1875	1875	hero/huanggai.png	0		
11121	官渡步兵	81	1	11	3	10	25642	31331	56075	17189	14836	1890	1890	1890	1890	1890	1890	hero/huanggai.png	0		
11131	官渡步兵	81	1	11	5	10	25940	31684	56647	17348	14983	1905	1905	1905	1905	1905	1905	hero/huanggai.png	0		
11141	官渡步兵	81	1	11	3	10	26238	32037	57219	17507	15130	1920	1920	1920	1920	1920	1920	hero/huanggai.png	0		
11151	官渡步兵	82	1	11	3	10	26537	32390	57791	17666	15277	1935	1935	1935	1935	1935	1935	hero/huanggai.png	0		
11161	官渡步兵	82	1	11	3	10	26836	32743	58363	17825	15424	1950	1950	1950	1950	1950	1950	hero/huanggai.png	0		
11171	官渡步兵	82	1	11	3	10	27136	33096	58935	17984	15571	1965	1965	1965	1965	1965	1965	hero/huanggai.png	0		
11181	官渡步兵	82	1	11	5	10	27437	33449	59507	18143	15718	1980	1980	1980	1980	1980	1980	hero/huanggai.png	0		
11191	官渡步兵	82	1	11	3	10	27738	33802	60079	18302	15865	1995	1995	1995	1995	1995	1995	hero/huanggai.png	0		
11201	官渡步兵	83	1	11	3	10	28039	34155	60651	18461	16012	2010	2010	2010	2010	2010	2010	hero/huanggai.png	0		
12011	合肥步兵	83	1	12	5	10	28341	34508	61223	18620	16159	2025	2025	2025	2025	2025	2025	hero/huaxiong.png	0		
12021	合肥步兵	83	1	12	5	10	28644	34861	61795	18779	16306	2040	2040	2040	2040	2040	2040	hero/huaxiong.png	0		
12031	合肥步兵	83	1	12	3	10	28947	35214	62367	18938	16453	2055	2055	2055	2055	2055	2055	hero/huaxiong.png	0		
12041	合肥步兵	83	1	12	5	10	29251	35567	62939	19097	16600	2070	2070	2070	2070	2070	2070	hero/huaxiong.png	0		
12051	合肥步兵	84	1	12	5	10	29555	35920	63511	19256	16747	2085	2085	2085	2085	2085	2085	hero/huaxiong.png	0		
12061	合肥步兵	84	1	12	3	10	29860	36273	64083	19415	16894	2100	2100	2100	2100	2100	2100	hero/huaxiong.png	0		
12071	合肥步兵	84	1	12	5	10	30165	36626	64655	19574	17041	2115	2115	2115	2115	2115	2115	hero/huaxiong.png	0		
12081	合肥步兵	84	1	12	3	10	30471	36979	65227	19733	17188	2130	2130	2130	2130	2130	2130	hero/huaxiong.png	0		
12091	合肥步兵	84	1	12	3	10	30777	37332	65799	19892	17335	2145	2145	2145	2145	2145	2145	hero/huaxiong.png	0		
12101	合肥步兵	85	1	12	5	10	31084	37685	66371	20051	17482	2160	2160	2160	2160	2160	2160	hero/huaxiong.png	0		
12111	合肥步兵	85	1	12	5	10	31391	38038	66943	20210	17629	2175	2175	2175	2175	2175	2175	hero/huaxiong.png	0		
12121	合肥步兵	85	1	12	5	10	31699	38391	67515	20369	17776	2190	2190	2190	2190	2190	2190	hero/huaxiong.png	0		
12131	合肥步兵	85	1	12	3	10	32007	38744	68087	20528	17923	2205	2205	2205	2205	2205	2205	hero/huaxiong.png	0		
12141	合肥步兵	85	1	12	3	10	32316	39097	68659	20687	18070	2220	2220	2220	2220	2220	2220	hero/huaxiong.png	0		
12151	合肥步兵	86	1	12	3	10	32626	39450	69231	20846	18217	2235	2235	2235	2235	2235	2235	hero/huaxiong.png	0		
12161	合肥步兵	86	1	12	3	10	32935	39803	69803	21005	18364	2250	2250	2250	2250	2250	2250	hero/huaxiong.png	0		
12171	合肥步兵	86	1	12	5	10	33246	40156	70375	21164	18511	2265	2265	2265	2265	2265	2265	hero/huaxiong.png	0		
12181	合肥步兵	86	1	12	5	10	33557	40509	70947	21323	18658	2280	2280	2280	2280	2280	2280	hero/huaxiong.png	0		
12191	合肥步兵	86	1	12	5	10	33868	40862	71519	21482	18805	2295	2295	2295	2295	2295	2295	hero/huaxiong.png	0		
12201	合肥步兵	87	1	12	5	10	34171	41196	72118	21638	18976	2310	2310	2310	2310	2310	2310	hero/huaxiong.png	0		
10012	宛城枪兵	75	2	10	3	10	16708	24862	34695	9018	9015	1425	1425	1425	1425	1425	1425	hero/qiang.png	0		
10022	宛城枪兵	75	2	10	3	10	16987	25242	35186	9158	9155	1440	1440	1440	1440	1440	1440	hero/qiang.png	0		
10032	宛城枪兵	75	2	10	3	10	17266	25622	35677	9298	9295	1455	1455	1455	1455	1455	1455	hero/qiang.png	0		
10042	宛城枪兵	75	2	10	5	10	17546	26002	36168	9438	9435	1470	1470	1470	1470	1470	1470	hero/qiang.png	0		
10052	宛城枪兵	76	2	10	3	10	17827	26382	36659	9578	9575	1485	1485	1485	1485	1485	1485	hero/qiang.png	0		
10062	宛城枪兵	76	2	10	3	10	18109	26762	37150	9718	9715	1500	1500	1500	1500	1500	1500	hero/qiang.png	0		
10072	宛城枪兵	76	2	10	5	10	18391	27142	37641	9858	9855	1515	1515	1515	1515	1515	1515	hero/qiang.png	0		
10082	宛城枪兵	76	2	10	3	10	18673	27522	38132	9998	9995	1530	1530	1530	1530	1530	1530	hero/qiang.png	0		
10092	宛城枪兵	76	2	10	5	10	18957	27902	38623	10138	10135	1545	1545	1545	1545	1545	1545	hero/qiang.png	0		
10102	宛城枪兵	77	2	10	3	10	19241	28282	39114	10278	10275	1560	1560	1560	1560	1560	1560	hero/qiang.png	0		
10112	宛城枪兵	77	2	10	3	10	19525	28662	39605	10418	10415	1575	1575	1575	1575	1575	1575	hero/qiang.png	0		
10122	宛城枪兵	77	2	10	3	10	19811	29042	40096	10558	10555	1590	1590	1590	1590	1590	1590	hero/qiang.png	0		
10132	宛城枪兵	77	2	10	5	10	20096	29422	40587	10698	10695	1605	1605	1605	1605	1605	1605	hero/qiang.png	0		
10142	宛城枪兵	77	2	10	5	10	20383	29802	41078	10838	10835	1620	1620	1620	1620	1620	1620	hero/qiang.png	0		
10152	宛城枪兵	78	2	10	3	10	20670	30182	41569	10978	10975	1635	1635	1635	1635	1635	1635	hero/qiang.png	0		
10162	宛城枪兵	78	2	10	5	10	20958	30562	42060	11118	11115	1650	1650	1650	1650	1650	1650	hero/qiang.png	0		
10172	宛城枪兵	78	2	10	5	10	21246	30942	42551	11258	11255	1665	1665	1665	1665	1665	1665	hero/qiang.png	0		
10182	宛城枪兵	78	2	10	3	10	21535	31322	43042	11398	11395	1680	1680	1680	1680	1680	1680	hero/qiang.png	0		
10192	宛城枪兵	78	2	10	5	10	21824	31702	43533	11538	11535	1695	1695	1695	1695	1695	1695	hero/qiang.png	0		
10202	宛城枪兵	79	2	10	5	10	22115	32082	44024	11678	11675	1710	1710	1710	1710	1710	1710	hero/qiang.png	0		
11012	官渡枪兵	79	2	11	5	10	22405	32462	44515	11818	11815	1725	1725	1725	1725	1725	1725	hero/dengai.png	0		
11022	官渡枪兵	79	2	11	3	10	22697	32842	45006	11958	11955	1740	1740	1740	1740	1740	1740	hero/dengai.png	0		
11032	官渡枪兵	79	2	11	3	10	22989	33222	45497	12098	12095	1755	1755	1755	1755	1755	1755	hero/dengai.png	0		
11042	官渡枪兵	79	2	11	5	10	23281	33602	45988	12238	12235	1770	1770	1770	1770	1770	1770	hero/dengai.png	0		
11052	官渡枪兵	80	2	11	3	10	23574	34362	46479	12378	12375	1785	1785	1785	1785	1785	1785	hero/dengai.png	0		
11062	官渡枪兵	80	2	11	5	10	23868	34362	46970	12518	12515	1800	1800	1800	1800	1800	1800	hero/dengai.png	0		
11072	官渡枪兵	80	2	11	3	10	24162	34742	47461	12658	12655	1815	1815	1815	1815	1815	1815	hero/dengai.png	0		
11082	官渡枪兵	80	2	11	3	10	24457	35122	47952	12798	12795	1830	1830	1830	1830	1830	1830	hero/dengai.png	0		
11092	官渡枪兵	80	2	11	5	10	24752	35502	48443	12938	12935	1845	1845	1845	1845	1845	1845	hero/dengai.png	0		
11102	官渡枪兵	81	2	11	3	10	25048	35882	48934	13078	13075	1860	1860	1860	1860	1860	1860	hero/dengai.png	0		
